videoName,PhaseName,Start,End
RALIHR_surgeon01_fps01_0001,stationary idle,0:00,0:16
RALIHR_surgeon01_fps01_0001,transitionary idle,0:16,0:35
RALIHR_surgeon01_fps01_0001,out of body,0:35,1:05
RALIHR_surgeon01_fps01_0001,transitionary idle,1:05,1:59
RALIHR_surgeon01_fps01_0001,peritoneal scoring,1:59,2:55
RALIHR_surgeon01_fps01_0001,preperioneal dissection,2:55,6:43
RALIHR_surgeon01_fps01_0001,reduction of hernia,6:43,15:58
RALIHR_surgeon01_fps01_0001,transitionary idle,15:58,16:05
RALIHR_surgeon01_fps01_0001,stationary idle,16:05,17:24
RALIHR_surgeon01_fps01_0001,transitionary idle,17:24,18:20
RALIHR_surgeon01_fps01_0001,blurry,18:20,19:15
RALIHR_surgeon01_fps01_0001,out of body,19:15,20:40
RALIHR_surgeon01_fps01_0001,positioning suture,20:40,21:03
RALIHR_surgeon01_fps01_0001,mesh placement,21:03,23:49
RALIHR_surgeon01_fps01_0001,transitionary idle,23:49,23:54
RALIHR_surgeon01_fps01_0001,positioning suture,23:54,24:07:00
RALIHR_surgeon01_fps01_0001,peritoneal closure,24:07:00,24:14:00
RALIHR_surgeon01_fps01_0001,transitionary idle,24:14:00,24:21:00
RALIHR_surgeon01_fps01_0001,positioning suture,24:21:00,25:02:00
RALIHR_surgeon01_fps01_0001,transitionary idle,25:02:00,25:05:00
RALIHR_surgeon01_fps01_0001,peritoneal closure,25:05:00,31:37:00
RALIHR_surgeon01_fps01_0001,transitionary idle,31:37:00,32:45:00
RALIHR_surgeon01_fps01_0001,out of body,32:45:00,32:47:00
RALIHR_surgeon01_fps01_0002,stationary idle,0:00,0:16
RALIHR_surgeon01_fps01_0002,transitionary idle,0:16,1:09
RALIHR_surgeon01_fps01_0002,peritoneal scoring,1:09,1:26
RALIHR_surgeon01_fps01_0002,preperioneal dissection,1:26,3:20
RALIHR_surgeon01_fps01_0002,reduction of hernia,3:20,11:46
RALIHR_surgeon01_fps01_0002,transitionary idle,11:46,12:02
RALIHR_surgeon01_fps01_0002,peritoneal scoring,12:02,12:13
RALIHR_surgeon01_fps01_0002,preperioneal dissection,12:13,16:20
RALIHR_surgeon01_fps01_0002,reduction of hernia,16:20,19:46
RALIHR_surgeon01_fps01_0002,transitionary idle,19:46,19:50
RALIHR_surgeon01_fps01_0002,out of body,19:50,19:54
RALIHR_surgeon01_fps01_0002,transitionary idle,19:54,20:15
RALIHR_surgeon01_fps01_0002,stationary idle,20:15,20:38
RALIHR_surgeon01_fps01_0002,transitionary idle,20:38,20:39
RALIHR_surgeon01_fps01_0002,stationary idle,20:39,23:21
RALIHR_surgeon01_fps01_0002,transitionary idle,23:21,23:43
RALIHR_surgeon01_fps01_0002,mesh positioning,23:43,24:04:00
RALIHR_surgeon01_fps01_0002,transitionary idle,24:04:00,24:30:00
RALIHR_surgeon01_fps01_0002,mesh positioning,24:30:00,25:05:00
RALIHR_surgeon01_fps01_0002,transitionary idle,25:05:00,25:15:00
RALIHR_surgeon01_fps01_0002,positioning suture,25:15:00,27:38:00
RALIHR_surgeon01_fps01_0002,transitionary idle,27:38:00,27:53:00
RALIHR_surgeon01_fps01_0002,mesh placement,27:53:00,37:15:00
RALIHR_surgeon01_fps01_0002,transitionary idle,37:15:00,37:19:00
RALIHR_surgeon01_fps01_0002,positioning suture,37:19:00,37:48:00
RALIHR_surgeon01_fps01_0002,primary hernia repair,37:48:00,40:15:00
RALIHR_surgeon01_fps01_0002,positioning suture,40:15:00,40:33:00
RALIHR_surgeon01_fps01_0002,transitionary idle,40:33:00,40:44:00
RALIHR_surgeon01_fps01_0002,mesh placement,40:44:00,41:34:00
RALIHR_surgeon01_fps01_0002,transitionary idle,41:34:00,42:32:00
RALIHR_surgeon01_fps01_0002,catheter insertion,42:32:00,43:14:00
RALIHR_surgeon01_fps01_0002,transitionary idle,43:14:00,43:19:00
RALIHR_surgeon01_fps01_0002,positioning suture,43:19:00,43:27:00
RALIHR_surgeon01_fps01_0002,peritoneal closure,43:27:00,47:02:00
RALIHR_surgeon01_fps01_0002,positioning suture,47:02:00,47:38:00
RALIHR_surgeon01_fps01_0002,peritoneal closure,47:38:00,51:19:00
RALIHR_surgeon01_fps01_0002,positioning suture,51:19:00,52:37:00
RALIHR_surgeon01_fps01_0002,transitionary idle,52:37:00,53:07:00
RALIHR_surgeon01_fps01_0002,out of body,53:07:00,53:18:00
RALIHR_surgeon01_fps01_0003,transitionary idle,0:00,0:04
RALIHR_surgeon01_fps01_0003,positioning suture,0:04,0:46
RALIHR_surgeon01_fps01_0003,transitionary idle,0:46,0:55
RALIHR_surgeon01_fps01_0003,mesh positioning,0:55,1:28
RALIHR_surgeon01_fps01_0003,peritoneal scoring,1:28,2:20
RALIHR_surgeon01_fps01_0003,preperioneal dissection,2:20,4:42
RALIHR_surgeon01_fps01_0003,reduction of hernia,4:42,9:14
RALIHR_surgeon01_fps01_0003,transitionary idle,9:14,9:20
RALIHR_surgeon01_fps01_0003,mesh placement,9:20,9:47
RALIHR_surgeon01_fps01_0003,transitionary idle,9:47,10:01
RALIHR_surgeon01_fps01_0003,peritoneal scoring,10:01,10:45
RALIHR_surgeon01_fps01_0003,preperioneal dissection,10:45,13:49
RALIHR_surgeon01_fps01_0003,reduction of hernia,13:49,16:12
RALIHR_surgeon01_fps01_0003,transitionary idle,16:12,16:15
RALIHR_surgeon01_fps01_0003,mesh placement,16:15,20:20
RALIHR_surgeon01_fps01_0003,transitionary idle,20:20,20:26
RALIHR_surgeon01_fps01_0003,mesh placement,20:26,23:16
RALIHR_surgeon01_fps01_0003,transitionary idle,23:16,23:27
RALIHR_surgeon01_fps01_0003,positioning suture,23:27,23:39
RALIHR_surgeon01_fps01_0003,peritoneal closure,23:39,23:59
RALIHR_surgeon01_fps01_0003,transitionary idle,23:59,24:18:00
RALIHR_surgeon01_fps01_0003,catheter insertion,24:18:00,25:03:00
RALIHR_surgeon01_fps01_0003,transitionary idle,25:03:00,25:28:00
RALIHR_surgeon01_fps01_0003,positioning suture,25:28:00,25:29:00
RALIHR_surgeon01_fps01_0003,peritoneal closure,25:29:00,25:40:00
RALIHR_surgeon01_fps01_0004,mesh placement,0:00,1:14
RALIHR_surgeon01_fps01_0004,transitionary idle,1:14,1:24
RALIHR_surgeon01_fps01_0004,positioning suture,1:24,1:32
RALIHR_surgeon01_fps01_0004,transitionary idle,1:32,1:40
RALIHR_surgeon01_fps01_0004,stationary idle,1:40,1:59
RALIHR_surgeon01_fps01_0004,transitionary idle,1:59,2:42
RALIHR_surgeon01_fps01_0004,catheter insertion,2:42,3:35
RALIHR_surgeon01_fps01_0004,transitionary idle,3:35,3:44
RALIHR_surgeon01_fps01_0004,positioning suture,3:44,3:52
RALIHR_surgeon01_fps01_0004,peritoneal closure,3:52,8:43
RALIHR_surgeon01_fps01_0004,positioning suture,8:43,9:39
RALIHR_surgeon01_fps01_0004,stationary idle,9:39,9:59
RALIHR_surgeon01_fps01_0005,transitionary idle,0:00,0:20
RALIHR_surgeon01_fps01_0005,peritoneal scoring,0:20,1:09
RALIHR_surgeon01_fps01_0005,preperioneal dissection,1:09,4:37
RALIHR_surgeon01_fps01_0005,reduction of hernia,4:37,9:04
RALIHR_surgeon01_fps01_0005,transitionary idle,9:04,9:18
RALIHR_surgeon01_fps01_0005,peritoneal scoring,9:18,9:52
RALIHR_surgeon01_fps01_0005,preperioneal dissection,9:52,16:39
RALIHR_surgeon01_fps01_0005,reduction of hernia,16:39,18:09
RALIHR_surgeon01_fps01_0005,transitionary idle,18:09,18:19
RALIHR_surgeon01_fps01_0005,reduction of hernia,18:19,23:07
RALIHR_surgeon01_fps01_0005,transitionary idle,23:07,23:20
RALIHR_surgeon01_fps01_0005,mesh positioning,23:20,23:48
RALIHR_surgeon01_fps01_0005,transitionary idle,23:48,23:57
RALIHR_surgeon01_fps01_0005,stationary idle,23:57,24:05:00
RALIHR_surgeon01_fps01_0005,transitionary idle,24:05:00,24:07:00
RALIHR_surgeon01_fps01_0005,stationary idle,24:07:00,24:39:00
RALIHR_surgeon01_fps01_0005,positioning suture,24:39:00,25:16:00
RALIHR_surgeon01_fps01_0005,transitionary idle,25:16:00,25:28:00
RALIHR_surgeon01_fps01_0005,stationary idle,25:28:00,26:05:00
RALIHR_surgeon01_fps01_0005,transitionary idle,26:05:00,26:14:00
RALIHR_surgeon01_fps01_0005,mesh placement,26:14:00,29:00:00
RALIHR_surgeon01_fps01_0005,transitionary idle,29:00:00,29:13:00
RALIHR_surgeon01_fps01_0005,mesh placement,29:13:00,32:45:00
RALIHR_surgeon01_fps01_0005,transitionary idle,32:45:00,33:22:00
RALIHR_surgeon01_fps01_0005,catheter insertion,33:22:00,34:11:00
RALIHR_surgeon01_fps01_0005,transitionary idle,34:11:00,34:15:00
RALIHR_surgeon01_fps01_0005,positioning suture,34:15:00,34:22:00
RALIHR_surgeon01_fps01_0005,peritoneal closure,34:22:00,37:45:00
RALIHR_surgeon01_fps01_0005,transitionary idle,37:45:00,37:52:00
RALIHR_surgeon01_fps01_0005,positioning suture,37:52:00,38:11:00
RALIHR_surgeon01_fps01_0005,peritoneal closure,38:11:00,41:22:00
RALIHR_surgeon01_fps01_0005,transitionary idle,41:22:00,42:14:00
RALIHR_surgeon01_fps01_0005,peritoneal closure,42:14:00,42:43:00
RALIHR_surgeon01_fps01_0005,positioning suture,42:43:00,42:47:00
RALIHR_surgeon01_fps01_0005,peritoneal closure,42:47:00,44:32:00
RALIHR_surgeon01_fps01_0005,positioning suture,44:32:00,44:40:00
RALIHR_surgeon01_fps01_0005,transitionary idle,44:40:00,44:46:00
RALIHR_surgeon01_fps01_0005,peritoneal closure,44:46:00,44:49:00
RALIHR_surgeon01_fps01_0005,positioning suture,44:49:00,45:27:00
RALIHR_surgeon01_fps01_0005,transitionary idle,45:27:00,45:31:00
RALIHR_surgeon01_fps01_0005,positioning suture,45:31:00,45:48:00
RALIHR_surgeon01_fps01_0005,mesh positioning,45:48:00,46:54:00
RALIHR_surgeon01_fps01_0005,transitionary idle,46:54:00,47:13:00
RALIHR_surgeon01_fps01_0006,peritoneal closure,0:00,0:23
RALIHR_surgeon01_fps01_0006,transitionary idle,0:23,0:57
RALIHR_surgeon01_fps01_0006,catheter insertion,0:57,1:38
RALIHR_surgeon01_fps01_0006,transitionary idle,1:38,1:47
RALIHR_surgeon01_fps01_0006,peritoneal closure,1:47,4:01
RALIHR_surgeon01_fps01_0006,positioning suture,4:01,4:11
RALIHR_surgeon01_fps01_0006,peritoneal closure,4:11,5:33
RALIHR_surgeon01_fps01_0006,positioning suture,5:33,6:07
RALIHR_surgeon01_fps01_0006,peritoneal closure,6:07,9:26
RALIHR_surgeon01_fps01_0006,positioning suture,9:26,9:35
RALIHR_surgeon01_fps01_0006,peritoneal closure,9:35,10:46
